Learning Rate.	Train Loss.	
0.1000000000	0.0378527939	
0.1000000000	0.0140747987	
0.1000000000	0.0073361630	
0.1000000000	0.0058097192	
0.1000000000	0.0083179176	
0.1000000000	0.0059720785	
0.1000000000	0.0065616458	
0.1000000000	0.0047743800	
0.1000000000	0.0051142918	
0.1000000000	0.0045397421	
0.1000000000	0.0044170269	
0.1000000000	0.0053885779	
0.1000000000	0.0043920721	
0.1000000000	0.0056181517	
0.1000000000	0.0060794377	
0.1000000000	0.0053738807	
0.1000000000	0.0055885720	
0.1000000000	0.0044789603	
0.1000000000	0.0048485175	
0.1000000000	0.0042669289	
0.1000000000	0.0041140984	
0.1000000000	0.0049471748	
0.1000000000	0.0052044336	
0.1000000000	0.0039185234	
0.1000000000	0.0055899955	
0.1000000000	0.0041813296	
0.1000000000	0.0036384608	
0.1000000000	0.0038266713	
0.1000000000	0.0044171135	
0.1000000000	0.0031878329	
0.1000000000	0.0041536693	
0.1000000000	0.0046543302	
0.1000000000	0.0033429896	
0.1000000000	0.0036048274	
0.1000000000	0.0034522125	
0.1000000000	0.0034639377	
0.1000000000	0.0037936049	
0.1000000000	0.0042925864	
0.1000000000	0.0054709981	
0.1000000000	0.0035359613	
0.1000000000	0.0031495688	
0.1000000000	0.0042263116	
0.1000000000	0.0030534531	
0.1000000000	0.0032204047	
0.1000000000	0.0034471853	
0.1000000000	0.0033830614	
0.1000000000	0.0028973448	
0.1000000000	0.0033697826	
0.1000000000	0.0029818136	
0.1000000000	0.0026032531	
0.1000000000	0.0028211591	
0.1000000000	0.0026700969	
0.1000000000	0.0022565818	
0.1000000000	0.0022921243	
0.1000000000	0.0027125168	
0.1000000000	0.0024848196	
0.1000000000	0.0016008106	
0.1000000000	0.0013911115	
0.1000000000	0.0012025066	
0.1000000000	0.0015538664	
0.1000000000	0.0009815122	
0.1000000000	0.0010541528	
0.1000000000	0.0008468850	
0.1000000000	0.0010835238	
0.1000000000	0.0006818172	
0.1000000000	0.0009241352	
0.1000000000	0.0011167305	
0.1000000000	0.0006550495	
0.1000000000	0.0007486345	
0.1000000000	0.0009647165	
0.1000000000	0.0015323722	
0.1000000000	0.0005279090	
0.1000000000	0.0005797880	
0.1000000000	0.0006905836	
0.1000000000	0.0005843987	
0.1000000000	0.0004171904	
0.1000000000	0.0009490701	
0.1000000000	0.0012396257	
0.1000000000	0.0003619983	
0.1000000000	0.0003770600	
0.1000000000	0.0005155529	
0.1000000000	0.0010497697	
0.1000000000	0.0004538518	
0.1000000000	0.0006022846	
0.1000000000	0.0008570703	
0.1000000000	0.0003567968	
0.1000000000	0.0002128332	
0.1000000000	0.0003089201	
0.1000000000	0.0003946716	
0.1000000000	0.0003532308	
0.1000000000	0.0007384022	
0.1000000000	0.0003016979	
0.1000000000	0.0006407017	
0.1000000000	0.0005978628	
0.1000000000	0.0004108679	
0.1000000000	0.0002062484	
0.1000000000	0.0003065387	
0.1000000000	0.0003378382	
0.1000000000	0.0003029084	
0.1000000000	0.0002699723	
0.1000000000	0.0002381530	
0.1000000000	0.0002221031	
0.1000000000	0.0002690485	
0.1000000000	0.0001806343	
0.1000000000	0.0002331320	
0.1000000000	0.0002712295	
0.1000000000	0.0003538461	
0.1000000000	0.0001732589	
0.1000000000	0.0001360288	
0.1000000000	0.0002321530	
0.1000000000	0.0001924526	
0.1000000000	0.0001974775	
0.1000000000	0.0002164147	
0.1000000000	0.0002039657	
0.1000000000	0.0001685575	
0.1000000000	0.0001496493	
0.1000000000	0.0001452983	
0.1000000000	0.0002059372	
0.1000000000	0.0001662372	
0.1000000000	0.0001688119	
0.1000000000	0.0001327121	
0.1000000000	0.0001427384	
0.1000000000	0.0001367991	
0.1000000000	0.0001441960	
0.1000000000	0.0001564825	
0.1000000000	0.0002533574	
0.1000000000	0.0001212487	
0.1000000000	0.0001503745	
0.1000000000	0.0001008071	
0.1000000000	0.0001232598	
0.1000000000	0.0001354547	
0.1000000000	0.0001827203	
0.1000000000	0.0001045208	
0.1000000000	0.0001583190	
0.1000000000	0.0001992544	
0.1000000000	0.0001559291	
0.1000000000	0.0001562144	
0.1000000000	0.0001682951	
0.1000000000	0.0001232784	
0.1000000000	0.0001470886	
0.1000000000	0.0001687357	
0.1000000000	0.0001300210	
0.1000000000	0.0001948499	
0.1000000000	0.0001718082	
0.1000000000	0.0001297453	
0.1000000000	0.0002789505	
0.1000000000	0.0001067018	
0.1000000000	0.0000965713	
0.1000000000	0.0001388753	
0.1000000000	0.0002278708	
0.1000000000	0.0001369212	
0.1000000000	0.0001065772	
0.1000000000	0.0001153557	
0.1000000000	0.0001514091	
0.1000000000	0.0001016785	
0.1000000000	0.0003041543	
0.1000000000	0.0001571321	
0.1000000000	0.0001571873	
0.1000000000	0.0001449539	
0.1000000000	0.0001594465	
0.1000000000	0.0001484760	
0.1000000000	0.0001126584	
0.1000000000	0.0001194857	
0.1000000000	0.0001547281	
0.1000000000	0.0001574252	
0.1000000000	0.0001598542	
0.1000000000	0.0001200847	
0.1000000000	0.0000905502	
0.1000000000	0.0001208584	
0.1000000000	0.0001263753	
0.1000000000	0.0002046517	
0.1000000000	0.0001213653	
0.1000000000	0.0001080773	
0.1000000000	0.0001177528	
0.1000000000	0.0001077888	
0.1000000000	0.0001100063	
0.1000000000	0.0001471225	
0.1000000000	0.0001000661	
0.1000000000	0.0001092473	
0.1000000000	0.0001015574	
0.1000000000	0.0001189390	
